company_name,country,assets,date,price,sector,operating,debt_to_assets,age
adidas,germany,15176.0,2016-07-28T00:00:00.000Z,145.325,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-07-29T00:00:00.000Z,146.981,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-01T00:00:00.000Z,148.732,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-02T00:00:00.000Z,148.031,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-03T00:00:00.000Z,149.01,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-04T00:00:00.000Z,146.109,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-05T00:00:00.000Z,146.77,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-08T00:00:00.000Z,147.638,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-09T00:00:00.000Z,147.86,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-10T00:00:00.000Z,151.534,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-11T00:00:00.000Z,154.032,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-12T00:00:00.000Z,154.931,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-15T00:00:00.000Z,156.009,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-16T00:00:00.000Z,155.194,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-17T00:00:00.000Z,156.254,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-18T00:00:00.000Z,156.011,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-19T00:00:00.000Z,156.534,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-22T00:00:00.000Z,153.763,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-23T00:00:00.000Z,153.75,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-24T00:00:00.000Z,152.369,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-25T00:00:00.000Z,151.408,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-26T00:00:00.000Z,152.571,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-29T00:00:00.000Z,152.711,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-30T00:00:00.000Z,152.042,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-08-31T00:00:00.000Z,148.56,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-01T00:00:00.000Z,148.25,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-02T00:00:00.000Z,145.455,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-05T00:00:00.000Z,147.259,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-06T00:00:00.000Z,146.95,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-07T00:00:00.000Z,148.353,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-08T00:00:00.000Z,146.004,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-09T00:00:00.000Z,144.143,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-12T00:00:00.000Z,147.009,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-13T00:00:00.000Z,148.49,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-14T00:00:00.000Z,147.916,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-15T00:00:00.000Z,150.63,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-16T00:00:00.000Z,149.8,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-19T00:00:00.000Z,148.454,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-20T00:00:00.000Z,151.381,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-21T00:00:00.000Z,153.2,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-22T00:00:00.000Z,154.705,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-23T00:00:00.000Z,154.772,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-26T00:00:00.000Z,153.112,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-27T00:00:00.000Z,152.808,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-28T00:00:00.000Z,155.812,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-29T00:00:00.000Z,152.615,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-09-30T00:00:00.000Z,154.41,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-03T00:00:00.000Z,153.96,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-04T00:00:00.000Z,156.452,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-05T00:00:00.000Z,156.143,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-06T00:00:00.000Z,154.0,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-07T00:00:00.000Z,154.984,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-10T00:00:00.000Z,157.344,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-11T00:00:00.000Z,155.245,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-12T00:00:00.000Z,155.646,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-13T00:00:00.000Z,153.709,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-14T00:00:00.000Z,156.949,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-17T00:00:00.000Z,155.792,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-18T00:00:00.000Z,157.38,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-19T00:00:00.000Z,158.419,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-20T00:00:00.000Z,159.402,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-21T00:00:00.000Z,156.77,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-24T00:00:00.000Z,155.367,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-25T00:00:00.000Z,152.663,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-26T00:00:00.000Z,148.878,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-27T00:00:00.000Z,149.815,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-28T00:00:00.000Z,148.9,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-10-31T00:00:00.000Z,149.3,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-01T00:00:00.000Z,146.318,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-02T00:00:00.000Z,145.991,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-03T00:00:00.000Z,136.762,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-04T00:00:00.000Z,131.939,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-07T00:00:00.000Z,136.294,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-08T00:00:00.000Z,136.84,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-09T00:00:00.000Z,139.55,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-10T00:00:00.000Z,131.891,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-11T00:00:00.000Z,133.392,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-14T00:00:00.000Z,134.017,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-15T00:00:00.000Z,138.476,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-16T00:00:00.000Z,137.184,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-17T00:00:00.000Z,139.547,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-18T00:00:00.000Z,138.85,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-21T00:00:00.000Z,139.528,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-22T00:00:00.000Z,139.47,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-23T00:00:00.000Z,138.456,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-24T00:00:00.000Z,138.5,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-25T00:00:00.000Z,138.993,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-28T00:00:00.000Z,136.972,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-29T00:00:00.000Z,139.172,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-11-30T00:00:00.000Z,138.461,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-01T00:00:00.000Z,136.959,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-02T00:00:00.000Z,138.189,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-05T00:00:00.000Z,140.997,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-06T00:00:00.000Z,141.5,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-07T00:00:00.000Z,142.512,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-08T00:00:00.000Z,144.37,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-09T00:00:00.000Z,144.25,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-12T00:00:00.000Z,143.83,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-13T00:00:00.000Z,145.245,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-14T00:00:00.000Z,142.71,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-15T00:00:00.000Z,143.65,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-16T00:00:00.000Z,144.26,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-19T00:00:00.000Z,144.233,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-20T00:00:00.000Z,145.784,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-21T00:00:00.000Z,144.862,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-22T00:00:00.000Z,144.645,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-23T00:00:00.000Z,144.1,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-27T00:00:00.000Z,145.135,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-28T00:00:00.000Z,146.654,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-29T00:00:00.000Z,147.063,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-12-30T00:00:00.000Z,150.15,consumer discretionary,7.73,10.66,66
allianz,germany,883809.0,2016-01-04T00:00:00.000Z,156.51,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-05T00:00:00.000Z,157.314,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-06T00:00:00.000Z,156.722,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-07T00:00:00.000Z,152.563,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-08T00:00:00.000Z,151.001,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-11T00:00:00.000Z,153.2,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-12T00:00:00.000Z,155.311,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-13T00:00:00.000Z,152.546,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-14T00:00:00.000Z,153.524,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-15T00:00:00.000Z,147.96,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-18T00:00:00.000Z,148.453,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-19T00:00:00.000Z,149.612,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-20T00:00:00.000Z,145.003,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-21T00:00:00.000Z,145.05,financials,10.79,2.95,126
allianz,germany,883809.0,2016-01-22T00:00:00.000Z,149.013,financials,10.79,2.95,126
